key,en,fr,es
header,Design - Imagin - Develop,Concevoir - Imaginer - Développer,Crear - Imaginar - Desarollar
project_polarnatt_desc,Animated short film at the end of studies 3iS Bordeaux,Court Métrage d'animation de fin d'études 3iS Bordeaux
project_polarnatt_long,Polarnatt is a short animation film from the 3rd year video game animation class on which I was able to take care of all the audio part :<br>- Sound Design on Reaper<br>- Mixing of voice recordings on Protools<br>- Music composition on Bitwig Studio,Polarnatt est un court métrage d'animation de la classe d'animation jeu vidéo 3ème année sur lequel j'ai pu m'occuper de toute la partie audio :<br>- Sound Design sur Reaper<br>- Mixage des enregistrement voix sur Protools<br>- Composition musicale sur Bitwig Studio
project_hf_title,Hide And Flee : Sound Design / Integration / Soundtrack (2022),Hide And Flee : Design Sonore / Intégration / Bande Son (2022)
project_hf_desc,Puzzle platforming game created for the Simiji Game Jam 2022,Jeu de platforming puzzle créé pour la Simiji Game Jam 2022
project_hf_long,Hide and Flee is a platforming game whose audio narration I was able to push in order to illustrate the 'cute/horrifying' duality<br>- Simple and effective Sound Design<br>- FMod / Unity Sound Integration allowing the sound to evolve over the narrative<br>- Original composition allowing to set the atmosphere,Hide and Flee est un jeu de platforming dont j'ai pu pousser la narration audio afin d'illustrer la dualité "mignon / horrifiant"<br>- Sound Design simple et efficace<br>- Intégration Sonore FMod / Unity permettant de faire évoluer le son au fil de la narration<br>- Composition originale permettant d'y fixer l'ambiance sonore
project_aa_title,Alpha Alpha : Soundtrack (2021),Alpha Alpha : Bande Son (2021)
project_aa_desc,Series of 4 episodes created by the students in realization of 3iS Bordeaux,Série de 4 épisodes créé par les étudiants en réalisation de 3iS Bordeaux
project_aa_long,Alpha Alpha is a 4-episode series created by the directing students of 3iS Bordeaux for which I was able to take care of the soundtrack of episode 3: A composition with the image created on Bitwig Studio reflecting the anxiety and stress of the events of the 3rd episode.,Alpha Alpha est une série de 4 épisodes créé par les étudiants en réalisation de 3iS Bordeaux dont j'ai pu m'occuper de la bande son de l'épisode 3 : Une composition a l'image créé sur Bitwig Studio reflétant l'anxiétée et le stress des évènements du 3eme épisode.
project_spring_title,Spring : Soundtrack Exercise (2021),Spring : Exercice Bande Son (2021)
project_spring_desc,Recomposition of the soundtrack for the short film Blender Spring,Recomposition de la bande son du court métrage Blender Spring
project_spring_long,Spring is a short film created on Blender and made available during a composition competition. This is therefore my version of the soundtrack of this short film composed on Blender.,Spring est un court métrage créé sur Blender et mis a disposition lors d'un concours de composition. Ceci est donc ma version de la bande son de ce court métrage composé sur Blender.
load_more,Load More Projects,Plus de projets
tools,Software & Hardware,Logiciels & Matériel Audio
software,Software,Logiciels
wwise_desc,Interactive audio middleware with advanced implementation features,Middleware audio interactif avec fonctionnalités avancées
fmod_desc,Audio engine and toolset for adaptive audio in games,Moteur audio et ensemble d'outils pour l'audio adaptatif dans les jeux
ableton_desc,Digital audio workstation for synthesized sound design,Station de travail audio numérique pour le design sonore par synthèse et traitement sonores
reaper_desc,Digital audio workstation for sound design and cinematics mixing,Station de travail audio numérique pour le design sonore et le mixage de cinématiques
unity_desc,Game engine with audio implementation tools,Moteur de jeu avec outils d'implémentation audio
hardware,Hardware,Matériel
mic_desc,Studio condenser microphone for professional recording,Microphone studio à condensateur pour enregistrement professionnel
headphones_desc,Reference headphones for accurate monitoring,Casques de référence pour un monitoring précis
monitors_desc,Studio monitors for accurate sound reproduction,Enceintes de monitoring pour une reproduction sonore précise
interface_desc,Audio interface with premium conversion and DSP,Interface audio avec conversion premium et DSP
contact,Contact,Contact
get_in_touch,Get in touch,Entrer en contact
contact_text,For project inquiries or collaborations feel free to reach out via email.,Pour des demandes de projets ou collaborations n'hésitez pas à me contacter par email.
copyright,© 2023 David Tourdot-Fuentes. All rights reserved.,© 2023 David Tourdot-Fuentes. Tous droits réservés.
